year,country,kopen,,,,,,,,,,,,,,
1995,IRL,,,,,,,,,,,,,,,
1996,IRL,,,,,,,,,,,,,,,
1997,IRL,,,,,,,,,,,,,,,
1998,IRL,,,,,,,,,,,,,,,
1999,IRL,,,,,,,,,,,,,,,
2000,IRL,,,,,,,,,,,,,,,
2001,IRL,,,,,,,,,,,,,,,
2002,IRL,,,,,,,,,,,,,,,
2003,IRL,,,,,,,,,,,,,,,
2004,IRL,,,,,,,,,,,,,,,
2005,IRL,,,,,,,,,,,,,,,
2006,IRL,,,,,,,,,,,,,,,
2007,IRL,,,,,,,,,,,,,,,
2008,IRL,,,,,,,,,,,,,,,
2009,IRL,,,,,,,,,,,,,,,
2010,IRL,,,,,,,,,,,,,,,
2011,IRL,,,,,,,,,,,,,,,
2012,IRL,,,,,,,,,,,,,,,
2013,IRL,,,,,,,,,,,,,,,
2014,IRL,,,,,,,,,,,,,,,
2015,IRL,,,,,,,,,,,,,,,
2016,IRL,,,,,,,,,,,,,,,
2017,IRL,,,,,,,,,,,,,,,
2018,IRL,,,,,,,,,,,,,,,
2019,IRL,,,,,,,,,,,,,,,
2020,IRL,,,,,,,,,,,,,,,
1870,ITA,1,,,,,,,,,,,,,,
1871,ITA,1,,,,,,,,,,,,,,
1872,ITA,1,,,,,,,,,,,,,,
1873,ITA,1,,,,,,,,,,,,,,
1874,ITA,1,,,,,,,,,,,,,,
1875,ITA,1,,,,,,,,,,,,,,
1876,ITA,1,,,,,,,,,,,,,,
1877,ITA,1,,,,,,,,,,,,,,
1878,ITA,1,,,,,,,,,,,,,,
1879,ITA,1,,,,,,,,,,,,,,
1880,ITA,1,,,,,,,,,,,,,,
1881,ITA,1,,,,,,,,,,,,,,
1882,ITA,1,,,,,,,,,,,,,,
1883,ITA,1,,,,,,,,,,,,,,
1884,ITA,1,,,,,,,,,,,,,,
1885,ITA,1,,,,,,,,,,,,,,
1886,ITA,1,,,,,,,,,,,,,,
1887,ITA,1,,,,,,,,,,,,,,
1888,ITA,1,,,,,,,,,,,,,,
1889,ITA,1,,,,,,,,,,,,,,
1890,ITA,1,,,,,,,,,,,,,,
1891,ITA,1,,,,,,,,,,,,,,
1892,ITA,1,,,,,,,,,,,,,,
1893,ITA,1,,,,,,,,,,,,,,
1894,ITA,1,,,,,,,,,,,,,,
1895,ITA,1,,,,,,,,,,,,,,
1896,ITA,1,,,,,,,,,,,,,,
1897,ITA,1,,,,,,,,,,,,,,
1898,ITA,1,,,,,,,,,,,,,,
1899,ITA,1,,,,,,,,,,,,,,
1900,ITA,1,,,,,,,,,,,,,,
1901,ITA,1,,,,,,,,,,,,,,
1902,ITA,1,,,,,,,,,,,,,,
1903,ITA,1,,,,,,,,,,,,,,
1904,ITA,1,,,,,,,,,,,,,,
1905,ITA,1,,,,,,,,,,,,,,
1906,ITA,1,,,,,,,,,,,,,,
1907,ITA,1,,,,,,,,,,,,,,
1908,ITA,1,,,,,,,,,,,,,,
1909,ITA,1,,,,,,,,,,,,,,
1910,ITA,1,,,,,,,,,,,,,,
1911,ITA,1,,,,,,,,,,,,,,
1912,ITA,1,,,,,,,,,,,,,,
1913,ITA,1,,,,,,,,,,,,,,
1914,ITA,1,,,,,,,,,,,,,,
1915,ITA,1,,,,,,,,,,,,,,
1916,ITA,0.75,,,,,,,,,,,,,,
1917,ITA,0.75,,,,,,,,,,,,,,
1918,ITA,0.75,,,,,,,,,,,,,,
1919,ITA,,,,,,,,,,,,,,,
1920,ITA,,,,,,,,,,,,,,,
1921,ITA,,,,,,,,,,,,,,,
1922,ITA,,,,,,,,,,,,,,,
1923,ITA,,,,,,,,,,,,,,,
1924,ITA,,,,,,,,,,,,,,,
1925,ITA,,,,,,,,,,,,,,,
1926,ITA,,,,,,,,,,,,,,,
1927,ITA,,,,,,,,,,,,,,,
1928,ITA,,,,,,,,,,,,,,,
1929,ITA,,,,,,,,,,,,,,,
1930,ITA,,,,,,,,,,,,,,,
1931,ITA,,,,,,,,,,,,,,,
1932,ITA,,,,,,,,,,,,,,,
1933,ITA,,,,,,,,,,,,,,,
1934,ITA,,,,,,,,,,,,,,,
1935,ITA,,,,,,,,,,,,,,,
1936,ITA,,,,,,,,,,,,,,,
1937,ITA,,,,,,,,,,,,,,,
1938,ITA,,,,,,,,,,,,,,,
1939,ITA,,,,,,,,,,,,,,,
1940,ITA,,,,,,,,,,,,,,,
1941,ITA,,,,,,,,,,,,,,,
1942,ITA,,,,,,,,,,,,,,,
1943,ITA,,,,,,,,,,,,,,,
1944,ITA,,,,,,,,,,,,,,,
1945,ITA,,,,,,,,,,,,,,,
1946,ITA,,,,,,,,,,,,,,,
1947,ITA,,,,,,,,,,,,,,,
1948,ITA,,,,,,,,,,,,,,,
1949,ITA,,,,,,,,,,,,,,,
1950,ITA,0.375,,,,,,,,,,,,,,
1951,ITA,0.375,,,,,,,,,,,,,,
1952,ITA,0.375,,,,,,,,,,,,,,
1953,ITA,0.375,,,,,,,,,,,,,,
1954,ITA,0.375,,,,,,,,,,,,,,
1955,ITA,0.375,,,,,,,,,,,,,,
1956,ITA,0.5,,,,,,,,,,,,,,
1957,ITA,0.5,,,,,,,,,,,,,,
1958,ITA,0.5,,,,,,,,,,,,,,
1959,ITA,0.625,,,,,,,,,,,,,,
1960,ITA,0.625,,,,,,,,,,,,,,
1961,ITA,0.625,,,,,,,,,,,,,,
1962,ITA,0.625,,,,,,,,,,,,,,
1963,ITA,0.75,,,,,,,,,,,,,,
1964,ITA,0.75,,,,,,,,,,,,,,
1965,ITA,0.75,,,,,,,,,,,,,,
1966,ITA,0.75,,,,,,,,,,,,,,
1967,ITA,0.75,,,,,,,,,,,,,,
1968,ITA,0.75,,,,,,,,,,,,,,
1969,ITA,0.75,,,,,,,,,,,,,,
1970,ITA,0.75,,,,,,,,,,,,,,
1971,ITA,0.75,,,,,,,,,,,,,,
1972,ITA,0.75,,,,,,,,,,,,,,
1973,ITA,0.75,,,,,,,,,,,,,,
1974,ITA,0.75,,,,,,,,,,,,,,
1975,ITA,0.75,,,,,,,,,,,,,,
1976,ITA,0.75,,,,,,,,,,,,,,
1977,ITA,0.75,,,,,,,,,,,,,,
1978,ITA,0.75,,,,,,,,,,,,,,
1979,ITA,0.75,,,,,,,,,,,,,,
1980,ITA,0.75,,,,,,,,,,,,,,
1981,ITA,0.75,,,,,,,,,,,,,,
1982,ITA,0.75,,,,,,,,,,,,,,
1983,ITA,0.75,,,,,,,,,,,,,,
1984,ITA,0.75,,,,,,,,,,,,,,
1985,ITA,0.75,,,,,,,,,,,,,,
1986,ITA,0.75,,,,,,,,,,,,,,
1987,ITA,0.75,,,,,,,,,,,,,,
1988,ITA,1,,,,,,,,,,,,,,
1989,ITA,1,,,,,,,,,,,,,,
1990,ITA,0.875,,,,,,,,,,,,,,
1991,ITA,0.875,,,,,,,,,,,,,,
1992,ITA,0.875,,,,,,,,,,,,,,
1993,ITA,1,,,,,,,,,,,,,,
1994,ITA,1,,,,,,,,,,,,,,
1995,ITA,1,,,,,,,,,,,,,,
1996,ITA,1,,,,,,,,,,,,,,
1997,ITA,1,,,,,,,,,,,,,,
1998,ITA,1,,,,,,,,,,,,,,
1999,ITA,1,,,,,,,,,,,,,,
2000,ITA,1,,,,,,,,,,,,,,
2001,ITA,1,,,,,,,,,,,,,,
2002,ITA,1,,,,,,,,,,,,,,
2003,ITA,1,,,,,,,,,,,,,,
2004,ITA,1,,,,,,,,,,,,,,
2005,ITA,1,,,,,,,,,,,,,,
2006,ITA,1,,,,,,,,,,,,,,
2007,ITA,1,,,,,,,,,,,,,,
2008,ITA,1,,,,,,,,,,,,,,
2009,ITA,1,,,,,,,,,,,,,,
2010,ITA,1,,,,,,,,,,,,,,
2011,ITA,1,,,,,,,,,,,,,,
2012,ITA,1,,,,,,,,,,,,,,
2013,ITA,1,,,,,,,,,,,,,,
2014,ITA,1,,,,,,,,,,,,,,
2015,ITA,1,,,,,,,,,,,,,,
2016,ITA,1,,,,,,,,,,,,,,
2017,ITA,1,,,,,,,,,,,,,,
2018,ITA,1,,,,,,,,,,,,,,
2019,ITA,1,,,,,,,,,,,,,,
2020,ITA,1,,,,,,,,,,,,,,
1870,JPN,1,,,,,,,,,,,,,,
1871,JPN,1,,,,,,,,,,,,,,
1872,JPN,1,,,,,,,,,,,,,,
1873,JPN,1,,,,,,,,,,,,,,
1874,JPN,1,,,,,,,,,,,,,,
1875,JPN,1,,,,,,,,,,,,,,
1876,JPN,1,,,,,,,,,,,,,,
1877,JPN,1,,,,,,,,,,,,,,
1878,JPN,1,,,,,,,,,,,,,,
1879,JPN,1,,,,,,,,,,,,,,
1880,JPN,1,,,,,,,,,,,,,,
1881,JPN,1,,,,,,,,,,,,,,
1882,JPN,1,,,,,,,,,,,,,,
1883,JPN,1,,,,,,,,,,,,,,
1884,JPN,1,,,,,,,,,,,,,,
1885,JPN,1,,,,,,,,,,,,,,
1886,JPN,1,,,,,,,,,,,,,,
1887,JPN,1,,,,,,,,,,,,,,
1888,JPN,1,,,,,,,,,,,,,,
1889,JPN,1,,,,,,,,,,,,,,
1890,JPN,1,,,,,,,,,,,,,,
1891,JPN,1,,,,,,,,,,,,,,
1892,JPN,1,,,,,,,,,,,,,,
1893,JPN,1,,,,,,,,,,,,,,
1894,JPN,1,,,,,,,,,,,,,,
1895,JPN,1,,,,,,,,,,,,,,
1896,JPN,1,,,,,,,,,,,,,,
1897,JPN,1,,,,,,,,,,,,,,
1898,JPN,1,,,,,,,,,,,,,,
1899,JPN,1,,,,,,,,,,,,,,
1900,JPN,1,,,,,,,,,,,,,,
1901,JPN,1,,,,,,,,,,,,,,
1902,JPN,1,,,,,,,,,,,,,,
1903,JPN,1,,,,,,,,,,,,,,
1904,JPN,1,,,,,,,,,,,,,,
1905,JPN,1,,,,,,,,,,,,,,
1906,JPN,1,,,,,,,,,,,,,,
1907,JPN,1,,,,,,,,,,,,,,
1908,JPN,1,,,,,,,,,,,,,,
1909,JPN,1,,,,,,,,,,,,,,
1910,JPN,1,,,,,,,,,,,,,,
1911,JPN,1,,,,,,,,,,,,,,
1912,JPN,1,,,,,,,,,,,,,,
1913,JPN,1,,,,,,,,,,,,,,
1914,JPN,1,,,,,,,,,,,,,,
1915,JPN,1,,,,,,,,,,,,,,
1916,JPN,1,,,,,,,,,,,,,,
1917,JPN,0.75,,,,,,,,,,,,,,
1918,JPN,0.75,,,,,,,,,,,,,,
1919,JPN,1,,,,,,,,,,,,,,
1920,JPN,0.5,,,,,,,,,,,,,,
1921,JPN,0.5,,,,,,,,,,,,,,
1922,JPN,0.5,,,,,,,,,,,,,,
1923,JPN,0.5,,,,,,,,,,,,,,
1924,JPN,0.5,,,,,,,,,,,,,,
1925,JPN,0.5,,,,,,,,,,,,,,
1926,JPN,0.5,,,,,,,,,,,,,,
1927,JPN,0.5,,,,,,,,,,,,,,
1928,JPN,0.5,,,,,,,,,,,,,,
1929,JPN,0.5,,,,,,,,,,,,,,
1930,JPN,1,,,,,,,,,,,,,,
1931,JPN,1,,,,,,,,,,,,,,
1932,JPN,0.5,,,,,,,,,,,,,,
1933,JPN,0.25,,,,,,,,,,,,,,
1934,JPN,0.25,,,,,,,,,,,,,,
1935,JPN,0.25,,,,,,,,,,,,,,
1936,JPN,0.25,,,,,,,,,,,,,,
1937,JPN,0.25,,,,,,,,,,,,,,
1938,JPN,0.25,,,,,,,,,,,,,,
1939,JPN,,,,,,,,,,,,,,,
1940,JPN,,,,,,,,,,,,,,,
1941,JPN,,,,,,,,,,,,,,,
1942,JPN,,,,,,,,,,,,,,,
1943,JPN,,,,,,,,,,,,,,,
1944,JPN,,,,,,,,,,,,,,,
1945,JPN,,,,,,,,,,,,,,,
1946,JPN,,,,,,,,,,,,,,,
1947,JPN,,,,,,,,,,,,,,,
1948,JPN,,,,,,,,,,,,,,,
1949,JPN,,,,,,,,,,,,,,,
1950,JPN,0.125,,,,,,,,,,,,,,
1951,JPN,0.125,,,,,,,,,,,,,,
1952,JPN,0.25,,,,,,,,,,,,,,
1953,JPN,0.25,,,,,,,,,,,,,,
1954,JPN,0.25,,,,,,,,,,,,,,
1955,JPN,0.25,,,,,,,,,,,,,,
1956,JPN,0.25,,,,,,,,,,,,,,
1957,JPN,0.25,,,,,,,,,,,,,,
1958,JPN,0.25,,,,,,,,,,,,,,
1959,JPN,0.375,,,,,,,,,,,,,,
1960,JPN,0.5,,,,,,,,,,,,,,
1961,JPN,0.5,,,,,,,,,,,,,,
1962,JPN,0.5,,,,,,,,,,,,,,
1963,JPN,0.5,,,,,,,,,,,,,,
1964,JPN,0.5,,,,,,,,,,,,,,
1965,JPN,0.5,,,,,,,,,,,,,,
1966,JPN,0.5,,,,,,,,,,,,,,
1967,JPN,0.5,,,,,,,,,,,,,,
1968,JPN,0.5,,,,,,,,,,,,,,
1969,JPN,0.5,,,,,,,,,,,,,,
1970,JPN,0.5,,,,,,,,,,,,,,
1971,JPN,0.5,,,,,,,,,,,,,,
1972,JPN,0.5,,,,,,,,,,,,,,
1973,JPN,0.5,,,,,,,,,,,,,,
1974,JPN,0.5,,,,,,,,,,,,,,
1975,JPN,0.5,,,,,,,,,,,,,,
1976,JPN,0.5,,,,,,,,,,,,,,
1977,JPN,0.5,,,,,,,,,,,,,,
1978,JPN,0.5,,,,,,,,,,,,,,
1979,JPN,0.5,,,,,,,,,,,,,,
1980,JPN,0.625,,,,,,,,,,,,,,
1981,JPN,0.625,,,,,,,,,,,,,,
1982,JPN,0.625,,,,,,,,,,,,,,
1983,JPN,0.625,,,,,,,,,,,,,,
1984,JPN,0.625,,,,,,,,,,,,,,
1985,JPN,0.625,,,,,,,,,,,,,,
1986,JPN,0.625,,,,,,,,,,,,,,
1987,JPN,0.625,,,,,,,,,,,,,,
1988,JPN,0.625,,,,,,,,,,,,,,
1989,JPN,0.625,,,,,,,,,,,,,,
1990,JPN,0.625,,,,,,,,,,,,,,
1991,JPN,0.625,,,,,,,,,,,,,,
1992,JPN,0.75,,,,,,,,,,,,,,
1993,JPN,0.75,,,,,,,,,,,,,,
1994,JPN,0.75,,,,,,,,,,,,,,
1995,JPN,0.75,,,,,,,,,,,,,,
1996,JPN,0.75,,,,,,,,,,,,,,
1997,JPN,0.75,,,,,,,,,,,,,,
1998,JPN,0.75,,,,,,,,,,,,,,
1999,JPN,0.75,,,,,,,,,,,,,,
2000,JPN,1,,,,,,,,,,,,,,
2001,JPN,1,,,,,,,,,,,,,,
2002,JPN,1,,,,,,,,,,,,,,
2003,JPN,1,,,,,,,,,,,,,,
2004,JPN,1,,,,,,,,,,,,,,
2005,JPN,1,,,,,,,,,,,,,,
2006,JPN,1,,,,,,,,,,,,,,
2007,JPN,1,,,,,,,,,,,,,,
2008,JPN,1,,,,,,,,,,,,,,
2009,JPN,1,,,,,,,,,,,,,,
2010,JPN,1,,,,,,,,,,,,,,
2011,JPN,1,,,,,,,,,,,,,,
2012,JPN,1,,,,,,,,,,,,,,
2013,JPN,1,,,,,,,,,,,,,,
2014,JPN,1,,,,,,,,,,,,,,
2015,JPN,1,,,,,,,,,,,,,,
2016,JPN,1,,,,,,,,,,,,,,
2017,JPN,1,,,,,,,,,,,,,,
2018,JPN,1,,,,,,,,,,,,,,
2019,JPN,1,,,,,,,,,,,,,,
2020,JPN,1,,,,,,,,,,,,,,
1870,NLD,1,,,,,,,,,,,,,,
1871,NLD,1,,,,,,,,,,,,,,
1872,NLD,1,,,,,,,,,,,,,,
1873,NLD,1,,,,,,,,,,,,,,
1874,NLD,1,,,,,,,,,,,,,,
1875,NLD,1,,,,,,,,,,,,,,
1876,NLD,1,,,,,,,,,,,,,,
1877,NLD,1,,,,,,,,,,,,,,
1878,NLD,1,,,,,,,,,,,,,,
1879,NLD,1,,,,,,,,,,,,,,
1880,NLD,1,,,,,,,,,,,,,,
1881,NLD,1,,,,,,,,,,,,,,
1882,NLD,1,,,,,,,,,,,,,,
1883,NLD,1,,,,,,,,,,,,,,
1884,NLD,1,,,,,,,,,,,,,,
1885,NLD,1,,,,,,,,,,,,,,
1886,NLD,1,,,,,,,,,,,,,,
1887,NLD,1,,,,,,,,,,,,,,
1888,NLD,1,,,,,,,,,,,,,,
1889,NLD,1,,,,,,,,,,,,,,
1890,NLD,1,,,,,,,,,,,,,,
1891,NLD,1,,,,,,,,,,,,,,
1892,NLD,1,,,,,,,,,,,,,,
1893,NLD,1,,,,,,,,,,,,,,
1894,NLD,1,,,,,,,,,,,,,,
1895,NLD,1,,,,,,,,,,,,,,
1896,NLD,1,,,,,,,,,,,,,,
1897,NLD,1,,,,,,,,,,,,,,
1898,NLD,1,,,,,,,,,,,,,,
1899,NLD,1,,,,,,,,,,,,,,
1900,NLD,1,,,,,,,,,,,,,,
1901,NLD,1,,,,,,,,,,,,,,
1902,NLD,1,,,,,,,,,,,,,,
1903,NLD,1,,,,,,,,,,,,,,
1904,NLD,1,,,,,,,,,,,,,,
1905,NLD,1,,,,,,,,,,,,,,
1906,NLD,1,,,,,,,,,,,,,,
1907,NLD,1,,,,,,,,,,,,,,
1908,NLD,1,,,,,,,,,,,,,,
1909,NLD,1,,,,,,,,,,,,,,
1910,NLD,1,,,,,,,,,,,,,,
1911,NLD,1,,,,,,,,,,,,,,
1912,NLD,1,,,,,,,,,,,,,,
1913,NLD,1,,,,,,,,,,,,,,
1914,NLD,1,,,,,,,,,,,,,,
1915,NLD,1,,,,,,,,,,,,,,
1916,NLD,1,,,,,,,,,,,,,,
1917,NLD,1,,,,,,,,,,,,,,
1918,NLD,1,,,,,,,,,,,,,,
1919,NLD,0.5,,,,,,,,,,,,,,
1920,NLD,0.5,,,,,,,,,,,,,,
1921,NLD,0.5,,,,,,,,,,,,,,
1922,NLD,0.5,,,,,,,,,,,,,,
1923,NLD,0.5,,,,,,,,,,,,,,
1924,NLD,0.5,,,,,,,,,,,,,,
1925,NLD,1,,,,,,,,,,,,,,
1926,NLD,1,,,,,,,,,,,,,,
1927,NLD,1,,,,,,,,,,,,,,
1928,NLD,1,,,,,,,,,,,,,,
1929,NLD,1,,,,,,,,,,,,,,
1930,NLD,1,,,,,,,,,,,,,,
1931,NLD,1,,,,,,,,,,,,,,
1932,NLD,1,,,,,,,,,,,,,,
1933,NLD,1,,,,,,,,,,,,,,
1934,NLD,1,,,,,,,,,,,,,,
1935,NLD,1,,,,,,,,,,,,,,
1936,NLD,0.5,,,,,,,,,,,,,,
1937,NLD,0.5,,,,,,,,,,,,,,
1938,NLD,0.5,,,,,,,,,,,,,,
1939,NLD,,,,,,,,,,,,,,,
1940,NLD,,,,,,,,,,,,,,,
1941,NLD,,,,,,,,,,,,,,,
1942,NLD,,,,,,,,,,,,,,,
1943,NLD,,,,,,,,,,,,,,,
1944,NLD,,,,,,,,,,,,,,,
1945,NLD,,,,,,,,,,,,,,,
1946,NLD,,,,,,,,,,,,,,,
1947,NLD,,,,,,,,,,,,,,,
1948,NLD,,,,,,,,,,,,,,,
1949,NLD,,,,,,,,,,,,,,,
1950,NLD,0,,,,,,,,,,,,,,
1951,NLD,0.25,,,,,,,,,,,,,,
1952,NLD,0.5,,,,,,,,,,,,,,
1953,NLD,0.5,,,,,,,,,,,,,,
1954,NLD,0.625,,,,,,,,,,,,,,
1955,NLD,0.75,,,,,,,,,,,,,,
1956,NLD,0.75,,,,,,,,,,,,,,
1957,NLD,0.75,,,,,,,,,,,,,,
1958,NLD,0.75,,,,,,,,,,,,,,
1959,NLD,0.75,,,,,,,,,,,,,,
1960,NLD,0.75,,,,,,,,,,,,,,
1961,NLD,0.75,,,,,,,,,,,,,,
1962,NLD,0.75,,,,,,,,,,,,,,
1963,NLD,0.75,,,,,,,,,,,,,,
1964,NLD,0.75,,,,,,,,,,,,,,
1965,NLD,0.75,,,,,,,,,,,,,,
1966,NLD,0.75,,,,,,,,,,,,,,
1967,NLD,0.75,,,,,,,,,,,,,,
1968,NLD,0.75,,,,,,,,,,,,,,
1969,NLD,0.75,,,,,,,,,,,,,,
1970,NLD,0.75,,,,,,,,,,,,,,
1971,NLD,0.75,,,,,,,,,,,,,,
1972,NLD,0.75,,,,,,,,,,,,,,
1973,NLD,0.75,,,,,,,,,,,,,,
1974,NLD,0.75,,,,,,,,,,,,,,
1975,NLD,0.75,,,,,,,,,,,,,,
1976,NLD,0.75,,,,,,,,,,,,,,
1977,NLD,0.75,,,,,,,,,,,,,,
1978,NLD,0.75,,,,,,,,,,,,,,
1979,NLD,0.75,,,,,,,,,,,,,,
1980,NLD,0.75,,,,,,,,,,,,,,
1981,NLD,0.75,,,,,,,,,,,,,,
1982,NLD,0.75,,,,,,,,,,,,,,
1983,NLD,1,,,,,,,,,,,,,,
1984,NLD,1,,,,,,,,,,,,,,
1985,NLD,1,,,,,,,,,,,,,,
1986,NLD,1,,,,,,,,,,,,,,
1987,NLD,1,,,,,,,,,,,,,,
1988,NLD,1,,,,,,,,,,,,,,
1989,NLD,1,,,,,,,,,,,,,,
1990,NLD,1,,,,,,,,,,,,,,
1991,NLD,1,,,,,,,,,,,,,,
1992,NLD,1,,,,,,,,,,,,,,
1993,NLD,1,,,,,,,,,,,,,,
1994,NLD,1,,,,,,,,,,,,,,
1995,NLD,1,,,,,,,,,,,,,,
1996,NLD,1,,,,,,,,,,,,,,
1997,NLD,1,,,,,,,,,,,,,,
1998,NLD,1,,,,,,,,,,,,,,
1999,NLD,1,,,,,,,,,,,,,,
2000,NLD,1,,,,,,,,,,,,,,
2001,NLD,1,,,,,,,,,,,,,,
2002,NLD,1,,,,,,,,,,,,,,
2003,NLD,1,,,,,,,,,,,,,,
2004,NLD,1,,,,,,,,,,,,,,
2005,NLD,1,,,,,,,,,,,,,,
2006,NLD,1,,,,,,,,,,,,,,
2007,NLD,1,,,,,,,,,,,,,,
2008,NLD,1,,,,,,,,,,,,,,
2009,NLD,1,,,,,,,,,,,,,,
2010,NLD,1,,,,,,,,,,,,,,
2011,NLD,1,,,,,,,,,,,,,,
2012,NLD,1,,,,,,,,,,,,,,
2013,NLD,1,,,,,,,,,,,,,,
2014,NLD,1,,,,,,,,,,,,,,
2015,NLD,1,,,,,,,,,,,,,,
2016,NLD,1,,,,,,,,,,,,,,
2017,NLD,1,,,,,,,,,,,,,,
2018,NLD,1,,,,,,,,,,,,,,
2019,NLD,1,,,,,,,,,,,,,,
2020,NLD,1,,,,,,,,,,,,,,
1870,NOR,1,,,,,,,,,,,,,,
1871,NOR,1,,,,,,,,,,,,,,
1872,NOR,1,,,,,,,,,,,,,,
1873,NOR,1,,,,,,,,,,,,,,
1874,NOR,1,,,,,,,,,,,,,,
1875,NOR,1,,,,,,,,,,,,,,
1876,NOR,1,,,,,,,,,,,,,,
1877,NOR,1,,,,,,,,,,,,,,
1878,NOR,1,,,,,,,,,,,,,,
1879,NOR,1,,,,,,,,,,,,,,
1880,NOR,1,,,,,,,,,,,,,,
1881,NOR,1,,,,,,,,,,,,,,
1882,NOR,1,,,,,,,,,,,,,,
1883,NOR,1,,,,,,,,,,,,,,
1884,NOR,1,,,,,,,,,,,,,,
1885,NOR,1,,,,,,,,,,,,,,
1886,NOR,1,,,,,,,,,,,,,,
1887,NOR,1,,,,,,,,,,,,,,
1888,NOR,1,,,,,,,,,,,,,,
1889,NOR,1,,,,,,,,,,,,,,
1890,NOR,1,,,,,,,,,,,,,,
1891,NOR,1,,,,,,,,,,,,,,
1892,NOR,1,,,,,,,,,,,,,,
1893,NOR,1,,,,,,,,,,,,,,
1894,NOR,1,,,,,,,,,,,,,,
1895,NOR,1,,,,,,,,,,,,,,
1896,NOR,1,,,,,,,,,,,,,,
1897,NOR,1,,,,,,,,,,,,,,
1898,NOR,1,,,,,,,,,,,,,,
1899,NOR,1,,,,,,,,,,,,,,
1900,NOR,1,,,,,,,,,,,,,,
1901,NOR,1,,,,,,,,,,,,,,
1902,NOR,1,,,,,,,,,,,,,,
1903,NOR,1,,,,,,,,,,,,,,
1904,NOR,1,,,,,,,,,,,,,,
1905,NOR,1,,,,,,,,,,,,,,
1906,NOR,1,,,,,,,,,,,,,,
1907,NOR,1,,,,,,,,,,,,,,
1908,NOR,1,,,,,,,,,,,,,,
1909,NOR,1,,,,,,,,,,,,,,
1910,NOR,1,,,,,,,,,,,,,,
1911,NOR,1,,,,,,,,,,,,,,
1912,NOR,1,,,,,,,,,,,,,,
1913,NOR,1,,,,,,,,,,,,,,
1914,NOR,,,,,,,,,,,,,,,
1915,NOR,,,,,,,,,,,,,,,
1916,NOR,,,,,,,,,,,,,,,
1917,NOR,,,,,,,,,,,,,,,
1918,NOR,,,,,,,,,,,,,,,
1919,NOR,1,,,,,,,,,,,,,,
1920,NOR,0.5,,,,,,,,,,,,,,
1921,NOR,0.5,,,,,,,,,,,,,,
1922,NOR,0.5,,,,,,,,,,,,,,
1923,NOR,0.5,,,,,,,,,,,,,,
1924,NOR,0.5,,,,,,,,,,,,,,
1925,NOR,0.5,,,,,,,,,,,,,,
1926,NOR,0.5,,,,,,,,,,,,,,
1927,NOR,0.5,,,,,,,,,,,,,,
1928,NOR,1,,,,,,,,,,,,,,
1929,NOR,1,,,,,,,,,,,,,,
1930,NOR,1,,,,,,,,,,,,,,
1931,NOR,1,,,,,,,,,,,,,,
1932,NOR,0.75,,,,,,,,,,,,,,
1933,NOR,0.75,,,,,,,,,,,,,,
1934,NOR,0.75,,,,,,,,,,,,,,
1935,NOR,0.75,,,,,,,,,,,,,,
1936,NOR,0.75,,,,,,,,,,,,,,
1937,NOR,0.75,,,,,,,,,,,,,,
