year,country,kopen,,,,,,,,,,,,,,
1938,NOR,0.75,,,,,,,,,,,,,,
1939,NOR,,,,,,,,,,,,,,,
1940,NOR,,,,,,,,,,,,,,,
1941,NOR,,,,,,,,,,,,,,,
1942,NOR,,,,,,,,,,,,,,,
1943,NOR,,,,,,,,,,,,,,,
1944,NOR,,,,,,,,,,,,,,,
1945,NOR,,,,,,,,,,,,,,,
1946,NOR,,,,,,,,,,,,,,,
1947,NOR,,,,,,,,,,,,,,,
1948,NOR,,,,,,,,,,,,,,,
1949,NOR,,,,,,,,,,,,,,,
1950,NOR,0.25,,,,,,,,,,,,,,
1951,NOR,0.25,,,,,,,,,,,,,,
1952,NOR,0.375,,,,,,,,,,,,,,
1953,NOR,0.375,,,,,,,,,,,,,,
1954,NOR,0.375,,,,,,,,,,,,,,
1955,NOR,0.375,,,,,,,,,,,,,,
1956,NOR,0.375,,,,,,,,,,,,,,
1957,NOR,0.375,,,,,,,,,,,,,,
1958,NOR,0.375,,,,,,,,,,,,,,
1959,NOR,0.375,,,,,,,,,,,,,,
1960,NOR,0.375,,,,,,,,,,,,,,
1961,NOR,0.375,,,,,,,,,,,,,,
1962,NOR,0.375,,,,,,,,,,,,,,
1963,NOR,0.375,,,,,,,,,,,,,,
1964,NOR,0.375,,,,,,,,,,,,,,
1965,NOR,0.375,,,,,,,,,,,,,,
1966,NOR,0.375,,,,,,,,,,,,,,
1967,NOR,0.375,,,,,,,,,,,,,,
1968,NOR,0.375,,,,,,,,,,,,,,
1969,NOR,0.375,,,,,,,,,,,,,,
1970,NOR,0.375,,,,,,,,,,,,,,
1971,NOR,0.375,,,,,,,,,,,,,,
1972,NOR,0.375,,,,,,,,,,,,,,
1973,NOR,0.375,,,,,,,,,,,,,,
1974,NOR,0.375,,,,,,,,,,,,,,
1975,NOR,0.375,,,,,,,,,,,,,,
1976,NOR,0.375,,,,,,,,,,,,,,
1977,NOR,0.375,,,,,,,,,,,,,,
1978,NOR,0.375,,,,,,,,,,,,,,
1979,NOR,0.5,,,,,,,,,,,,,,
1980,NOR,0.5,,,,,,,,,,,,,,
1981,NOR,0.5,,,,,,,,,,,,,,
1982,NOR,0.5,,,,,,,,,,,,,,
1983,NOR,0.5,,,,,,,,,,,,,,
1984,NOR,0.625,,,,,,,,,,,,,,
1985,NOR,0.625,,,,,,,,,,,,,,
1986,NOR,0.625,,,,,,,,,,,,,,
1987,NOR,0.625,,,,,,,,,,,,,,
1988,NOR,0.75,,,,,,,,,,,,,,
1989,NOR,0.75,,,,,,,,,,,,,,
1990,NOR,1,,,,,,,,,,,,,,
1991,NOR,1,,,,,,,,,,,,,,
1992,NOR,1,,,,,,,,,,,,,,
1993,NOR,1,,,,,,,,,,,,,,
1994,NOR,1,,,,,,,,,,,,,,
1995,NOR,1,,,,,,,,,,,,,,
1996,NOR,1,,,,,,,,,,,,,,
1997,NOR,1,,,,,,,,,,,,,,
1998,NOR,1,,,,,,,,,,,,,,
1999,NOR,1,,,,,,,,,,,,,,
2000,NOR,1,,,,,,,,,,,,,,
2001,NOR,1,,,,,,,,,,,,,,
2002,NOR,1,,,,,,,,,,,,,,
2003,NOR,1,,,,,,,,,,,,,,
2004,NOR,1,,,,,,,,,,,,,,
2005,NOR,1,,,,,,,,,,,,,,
2006,NOR,1,,,,,,,,,,,,,,
2007,NOR,1,,,,,,,,,,,,,,
2008,NOR,1,,,,,,,,,,,,,,
2009,NOR,1,,,,,,,,,,,,,,
2010,NOR,1,,,,,,,,,,,,,,
2011,NOR,1,,,,,,,,,,,,,,
2012,NOR,1,,,,,,,,,,,,,,
2013,NOR,1,,,,,,,,,,,,,,
2014,NOR,1,,,,,,,,,,,,,,
2015,NOR,1,,,,,,,,,,,,,,
2016,NOR,1,,,,,,,,,,,,,,
2017,NOR,1,,,,,,,,,,,,,,
2018,NOR,1,,,,,,,,,,,,,,
2019,NOR,1,,,,,,,,,,,,,,
2020,NOR,1,,,,,,,,,,,,,,
1870,PRT,1,,,,,,,,,,,,,,
1871,PRT,1,,,,,,,,,,,,,,
1872,PRT,1,,,,,,,,,,,,,,
1873,PRT,1,,,,,,,,,,,,,,
1874,PRT,1,,,,,,,,,,,,,,
1875,PRT,1,,,,,,,,,,,,,,
1876,PRT,1,,,,,,,,,,,,,,
1877,PRT,1,,,,,,,,,,,,,,
1878,PRT,1,,,,,,,,,,,,,,
1879,PRT,1,,,,,,,,,,,,,,
1880,PRT,1,,,,,,,,,,,,,,
1881,PRT,1,,,,,,,,,,,,,,
1882,PRT,1,,,,,,,,,,,,,,
1883,PRT,1,,,,,,,,,,,,,,
1884,PRT,1,,,,,,,,,,,,,,
1885,PRT,1,,,,,,,,,,,,,,
1886,PRT,1,,,,,,,,,,,,,,
1887,PRT,1,,,,,,,,,,,,,,
1888,PRT,1,,,,,,,,,,,,,,
1889,PRT,1,,,,,,,,,,,,,,
1890,PRT,1,,,,,,,,,,,,,,
1891,PRT,1,,,,,,,,,,,,,,
1892,PRT,1,,,,,,,,,,,,,,
1893,PRT,1,,,,,,,,,,,,,,
1894,PRT,1,,,,,,,,,,,,,,
1895,PRT,1,,,,,,,,,,,,,,
1896,PRT,1,,,,,,,,,,,,,,
1897,PRT,1,,,,,,,,,,,,,,
1898,PRT,1,,,,,,,,,,,,,,
1899,PRT,1,,,,,,,,,,,,,,
1900,PRT,1,,,,,,,,,,,,,,
1901,PRT,1,,,,,,,,,,,,,,
1902,PRT,1,,,,,,,,,,,,,,
1903,PRT,1,,,,,,,,,,,,,,
1904,PRT,1,,,,,,,,,,,,,,
1905,PRT,1,,,,,,,,,,,,,,
1906,PRT,1,,,,,,,,,,,,,,
1907,PRT,1,,,,,,,,,,,,,,
1908,PRT,1,,,,,,,,,,,,,,
1909,PRT,1,,,,,,,,,,,,,,
1910,PRT,1,,,,,,,,,,,,,,
1911,PRT,1,,,,,,,,,,,,,,
1912,PRT,1,,,,,,,,,,,,,,
1913,PRT,1,,,,,,,,,,,,,,
1914,PRT,1,,,,,,,,,,,,,,
1915,PRT,1,,,,,,,,,,,,,,
1916,PRT,1,,,,,,,,,,,,,,
1917,PRT,1,,,,,,,,,,,,,,
1918,PRT,1,,,,,,,,,,,,,,
1919,PRT,0.25,,,,,,,,,,,,,,
1920,PRT,0.25,,,,,,,,,,,,,,
1921,PRT,0.25,,,,,,,,,,,,,,
1922,PRT,0.25,,,,,,,,,,,,,,
1923,PRT,0.25,,,,,,,,,,,,,,
1924,PRT,0.25,,,,,,,,,,,,,,
1925,PRT,0.25,,,,,,,,,,,,,,
1926,PRT,0.25,,,,,,,,,,,,,,
1927,PRT,0.25,,,,,,,,,,,,,,
1928,PRT,0.25,,,,,,,,,,,,,,
1929,PRT,0.25,,,,,,,,,,,,,,
1930,PRT,0.25,,,,,,,,,,,,,,
1931,PRT,0,,,,,,,,,,,,,,
1932,PRT,0,,,,,,,,,,,,,,
1933,PRT,0,,,,,,,,,,,,,,
1934,PRT,0,,,,,,,,,,,,,,
1935,PRT,0,,,,,,,,,,,,,,
1936,PRT,0,,,,,,,,,,,,,,
1937,PRT,0,,,,,,,,,,,,,,
1938,PRT,0,,,,,,,,,,,,,,
1939,PRT,,,,,,,,,,,,,,,
1940,PRT,,,,,,,,,,,,,,,
1941,PRT,,,,,,,,,,,,,,,
1942,PRT,,,,,,,,,,,,,,,
1943,PRT,,,,,,,,,,,,,,,
1944,PRT,,,,,,,,,,,,,,,
1945,PRT,,,,,,,,,,,,,,,
1946,PRT,,,,,,,,,,,,,,,
1947,PRT,,,,,,,,,,,,,,,
1948,PRT,,,,,,,,,,,,,,,
1949,PRT,,,,,,,,,,,,,,,
1950,PRT,0.25,,,,,,,,,,,,,,
1951,PRT,0.25,,,,,,,,,,,,,,
1952,PRT,0.25,,,,,,,,,,,,,,
1953,PRT,0.25,,,,,,,,,,,,,,
1954,PRT,0.25,,,,,,,,,,,,,,
1955,PRT,0.25,,,,,,,,,,,,,,
1956,PRT,0.25,,,,,,,,,,,,,,
1957,PRT,0.25,,,,,,,,,,,,,,
1958,PRT,0.25,,,,,,,,,,,,,,
1959,PRT,0.25,,,,,,,,,,,,,,
1960,PRT,0.25,,,,,,,,,,,,,,
1961,PRT,0.25,,,,,,,,,,,,,,
1962,PRT,0.25,,,,,,,,,,,,,,
1963,PRT,0.25,,,,,,,,,,,,,,
1964,PRT,0.25,,,,,,,,,,,,,,
1965,PRT,0.25,,,,,,,,,,,,,,
1966,PRT,0.25,,,,,,,,,,,,,,
1967,PRT,0.25,,,,,,,,,,,,,,
1968,PRT,0.25,,,,,,,,,,,,,,
1969,PRT,0.25,,,,,,,,,,,,,,
1970,PRT,0.375,,,,,,,,,,,,,,
1971,PRT,0.375,,,,,,,,,,,,,,
1972,PRT,0.375,,,,,,,,,,,,,,
1973,PRT,0.375,,,,,,,,,,,,,,
1974,PRT,0.375,,,,,,,,,,,,,,
1975,PRT,0.375,,,,,,,,,,,,,,
1976,PRT,0.375,,,,,,,,,,,,,,
1977,PRT,0.375,,,,,,,,,,,,,,
1978,PRT,0.375,,,,,,,,,,,,,,
1979,PRT,0.375,,,,,,,,,,,,,,
1980,PRT,0.375,,,,,,,,,,,,,,
1981,PRT,0.375,,,,,,,,,,,,,,
1982,PRT,0.375,,,,,,,,,,,,,,
1983,PRT,0.375,,,,,,,,,,,,,,
1984,PRT,0.375,,,,,,,,,,,,,,
1985,PRT,0.375,,,,,,,,,,,,,,
1986,PRT,0.625,,,,,,,,,,,,,,
1987,PRT,0.625,,,,,,,,,,,,,,
1988,PRT,0.625,,,,,,,,,,,,,,
1989,PRT,0.75,,,,,,,,,,,,,,
1990,PRT,0.75,,,,,,,,,,,,,,
1991,PRT,0.75,,,,,,,,,,,,,,
1992,PRT,0.875,,,,,,,,,,,,,,
1993,PRT,0.875,,,,,,,,,,,,,,
1994,PRT,0.875,,,,,,,,,,,,,,
1995,PRT,0.875,,,,,,,,,,,,,,
1996,PRT,0.875,,,,,,,,,,,,,,
1997,PRT,0.875,,,,,,,,,,,,,,
1998,PRT,0.875,,,,,,,,,,,,,,
1999,PRT,0.875,,,,,,,,,,,,,,
2000,PRT,0.875,,,,,,,,,,,,,,
2001,PRT,0.875,,,,,,,,,,,,,,
2002,PRT,0.875,,,,,,,,,,,,,,
2003,PRT,0.875,,,,,,,,,,,,,,
2004,PRT,0.875,,,,,,,,,,,,,,
2005,PRT,0.875,,,,,,,,,,,,,,
2006,PRT,0.875,,,,,,,,,,,,,,
2007,PRT,0.875,,,,,,,,,,,,,,
2008,PRT,0.875,,,,,,,,,,,,,,
2009,PRT,0.875,,,,,,,,,,,,,,
2010,PRT,0.875,,,,,,,,,,,,,,
2011,PRT,0.875,,,,,,,,,,,,,,
2012,PRT,0.875,,,,,,,,,,,,,,
2013,PRT,1,,,,,,,,,,,,,,
2014,PRT,1,,,,,,,,,,,,,,
2015,PRT,1,,,,,,,,,,,,,,
2016,PRT,1,,,,,,,,,,,,,,
2017,PRT,1,,,,,,,,,,,,,,
2018,PRT,1,,,,,,,,,,,,,,
2019,PRT,1,,,,,,,,,,,,,,
2020,PRT,1,,,,,,,,,,,,,,
1870,SWE,1,,,,,,,,,,,,,,
1871,SWE,1,,,,,,,,,,,,,,
1872,SWE,1,,,,,,,,,,,,,,
1873,SWE,1,,,,,,,,,,,,,,
1874,SWE,1,,,,,,,,,,,,,,
1875,SWE,1,,,,,,,,,,,,,,
1876,SWE,1,,,,,,,,,,,,,,
1877,SWE,1,,,,,,,,,,,,,,
1878,SWE,1,,,,,,,,,,,,,,
1879,SWE,1,,,,,,,,,,,,,,
1880,SWE,1,,,,,,,,,,,,,,
1881,SWE,1,,,,,,,,,,,,,,
1882,SWE,1,,,,,,,,,,,,,,
1883,SWE,1,,,,,,,,,,,,,,
1884,SWE,1,,,,,,,,,,,,,,
1885,SWE,1,,,,,,,,,,,,,,
1886,SWE,1,,,,,,,,,,,,,,
1887,SWE,1,,,,,,,,,,,,,,
1888,SWE,1,,,,,,,,,,,,,,
1889,SWE,1,,,,,,,,,,,,,,
1890,SWE,1,,,,,,,,,,,,,,
1891,SWE,1,,,,,,,,,,,,,,
1892,SWE,1,,,,,,,,,,,,,,
1893,SWE,1,,,,,,,,,,,,,,
1894,SWE,1,,,,,,,,,,,,,,
1895,SWE,1,,,,,,,,,,,,,,
1896,SWE,1,,,,,,,,,,,,,,
1897,SWE,1,,,,,,,,,,,,,,
1898,SWE,1,,,,,,,,,,,,,,
1899,SWE,1,,,,,,,,,,,,,,
1900,SWE,1,,,,,,,,,,,,,,
1901,SWE,1,,,,,,,,,,,,,,
1902,SWE,1,,,,,,,,,,,,,,
1903,SWE,1,,,,,,,,,,,,,,
1904,SWE,1,,,,,,,,,,,,,,
1905,SWE,1,,,,,,,,,,,,,,
1906,SWE,1,,,,,,,,,,,,,,
1907,SWE,1,,,,,,,,,,,,,,
1908,SWE,1,,,,,,,,,,,,,,
1909,SWE,1,,,,,,,,,,,,,,
1910,SWE,1,,,,,,,,,,,,,,
1911,SWE,1,,,,,,,,,,,,,,
1912,SWE,1,,,,,,,,,,,,,,
1913,SWE,1,,,,,,,,,,,,,,
1914,SWE,1,,,,,,,,,,,,,,
1915,SWE,1,,,,,,,,,,,,,,
1916,SWE,1,,,,,,,,,,,,,,
1917,SWE,1,,,,,,,,,,,,,,
1918,SWE,1,,,,,,,,,,,,,,
1919,SWE,,,,,,,,,,,,,,,
1920,SWE,0.5,,,,,,,,,,,,,,
1921,SWE,0.5,,,,,,,,,,,,,,
1922,SWE,0.5,,,,,,,,,,,,,,
1923,SWE,0.5,,,,,,,,,,,,,,
1924,SWE,1,,,,,,,,,,,,,,
1925,SWE,1,,,,,,,,,,,,,,
1926,SWE,1,,,,,,,,,,,,,,
1927,SWE,1,,,,,,,,,,,,,,
1928,SWE,1,,,,,,,,,,,,,,
1929,SWE,1,,,,,,,,,,,,,,
1930,SWE,1,,,,,,,,,,,,,,
1931,SWE,0.75,,,,,,,,,,,,,,
1932,SWE,0.75,,,,,,,,,,,,,,
1933,SWE,0.75,,,,,,,,,,,,,,
1934,SWE,0.75,,,,,,,,,,,,,,
1935,SWE,0.75,,,,,,,,,,,,,,
1936,SWE,0.75,,,,,,,,,,,,,,
1937,SWE,0.75,,,,,,,,,,,,,,
1938,SWE,0.75,,,,,,,,,,,,,,
1939,SWE,,,,,,,,,,,,,,,
1940,SWE,,,,,,,,,,,,,,,
1941,SWE,,,,,,,,,,,,,,,
1942,SWE,,,,,,,,,,,,,,,
1943,SWE,,,,,,,,,,,,,,,
1944,SWE,,,,,,,,,,,,,,,
1945,SWE,,,,,,,,,,,,,,,
1946,SWE,,,,,,,,,,,,,,,
1947,SWE,,,,,,,,,,,,,,,
1948,SWE,,,,,,,,,,,,,,,
1949,SWE,,,,,,,,,,,,,,,
1950,SWE,0,,,,,,,,,,,,,,
1951,SWE,0,,,,,,,,,,,,,,
1952,SWE,0.125,,,,,,,,,,,,,,
1953,SWE,0.125,,,,,,,,,,,,,,
1954,SWE,0.125,,,,,,,,,,,,,,
1955,SWE,0.125,,,,,,,,,,,,,,
1956,SWE,0.125,,,,,,,,,,,,,,
1957,SWE,0.125,,,,,,,,,,,,,,
1958,SWE,0.5,,,,,,,,,,,,,,
1959,SWE,0.625,,,,,,,,,,,,,,
1960,SWE,0.625,,,,,,,,,,,,,,
1961,SWE,0.625,,,,,,,,,,,,,,
1962,SWE,0.625,,,,,,,,,,,,,,
1963,SWE,0.625,,,,,,,,,,,,,,
1964,SWE,0.625,,,,,,,,,,,,,,
1965,SWE,0.625,,,,,,,,,,,,,,
1966,SWE,0.625,,,,,,,,,,,,,,
1967,SWE,0.625,,,,,,,,,,,,,,
1968,SWE,0.625,,,,,,,,,,,,,,
1969,SWE,0.5,,,,,,,,,,,,,,
1970,SWE,0.5,,,,,,,,,,,,,,
1971,SWE,0.5,,,,,,,,,,,,,,
1972,SWE,0.625,,,,,,,,,,,,,,
1973,SWE,0.625,,,,,,,,,,,,,,
1974,SWE,0.625,,,,,,,,,,,,,,
1975,SWE,0.625,,,,,,,,,,,,,,
1976,SWE,0.625,,,,,,,,,,,,,,
1977,SWE,0.625,,,,,,,,,,,,,,
1978,SWE,0.625,,,,,,,,,,,,,,
1979,SWE,0.625,,,,,,,,,,,,,,
1980,SWE,0.75,,,,,,,,,,,,,,
1981,SWE,0.75,,,,,,,,,,,,,,
1982,SWE,0.75,,,,,,,,,,,,,,
1983,SWE,0.75,,,,,,,,,,,,,,
1984,SWE,0.75,,,,,,,,,,,,,,
1985,SWE,0.75,,,,,,,,,,,,,,
1986,SWE,0.75,,,,,,,,,,,,,,
1987,SWE,0.75,,,,,,,,,,,,,,
1988,SWE,0.75,,,,,,,,,,,,,,
1989,SWE,0.75,,,,,,,,,,,,,,
1990,SWE,0.875,,,,,,,,,,,,,,
1991,SWE,0.875,,,,,,,,,,,,,,
1992,SWE,0.875,,,,,,,,,,,,,,
1993,SWE,0.875,,,,,,,,,,,,,,
1994,SWE,0.875,,,,,,,,,,,,,,
1995,SWE,0.875,,,,,,,,,,,,,,
1996,SWE,0.875,,,,,,,,,,,,,,
1997,SWE,0.875,,,,,,,,,,,,,,
1998,SWE,0.875,,,,,,,,,,,,,,
1999,SWE,0.875,,,,,,,,,,,,,,
2000,SWE,0.875,,,,,,,,,,,,,,
2001,SWE,0.875,,,,,,,,,,,,,,
2002,SWE,0.875,,,,,,,,,,,,,,
2003,SWE,0.875,,,,,,,,,,,,,,
2004,SWE,0.875,,,,,,,,,,,,,,
2005,SWE,0.875,,,,,,,,,,,,,,
2006,SWE,0.875,,,,,,,,,,,,,,
2007,SWE,0.875,,,,,,,,,,,,,,
2008,SWE,0.875,,,,,,,,,,,,,,
2009,SWE,0.875,,,,,,,,,,,,,,
2010,SWE,0.875,,,,,,,,,,,,,,
2011,SWE,0.875,,,,,,,,,,,,,,
2012,SWE,0.875,,,,,,,,,,,,,,
2013,SWE,1,,,,,,,,,,,,,,
2014,SWE,1,,,,,,,,,,,,,,
2015,SWE,1,,,,,,,,,,,,,,
2016,SWE,1,,,,,,,,,,,,,,
2017,SWE,1,,,,,,,,,,,,,,
2018,SWE,1,,,,,,,,,,,,,,
2019,SWE,1,,,,,,,,,,,,,,
2020,SWE,1,,,,,,,,,,,,,,
1870,USA,1,,,,,,,,,,,,,,
1871,USA,1,,,,,,,,,,,,,,
1872,USA,1,,,,,,,,,,,,,,
1873,USA,1,,,,,,,,,,,,,,
1874,USA,1,,,,,,,,,,,,,,
1875,USA,1,,,,,,,,,,,,,,
1876,USA,1,,,,,,,,,,,,,,
1877,USA,1,,,,,,,,,,,,,,
1878,USA,1,,,,,,,,,,,,,,
1879,USA,1,,,,,,,,,,,,,,
1880,USA,1,,,,,,,,,,,,,,
1881,USA,1,,,,,,,,,,,,,,
1882,USA,1,,,,,,,,,,,,,,
1883,USA,1,,,,,,,,,,,,,,
1884,USA,1,,,,,,,,,,,,,,
1885,USA,1,,,,,,,,,,,,,,
1886,USA,1,,,,,,,,,,,,,,
1887,USA,1,,,,,,,,,,,,,,
1888,USA,1,,,,,,,,,,,,,,
1889,USA,1,,,,,,,,,,,,,,
1890,USA,1,,,,,,,,,,,,,,
1891,USA,1,,,,,,,,,,,,,,
1892,USA,1,,,,,,,,,,,,,,
1893,USA,1,,,,,,,,,,,,,,
1894,USA,1,,,,,,,,,,,,,,
1895,USA,1,,,,,,,,,,,,,,
1896,USA,1,,,,,,,,,,,,,,
1897,USA,1,,,,,,,,,,,,,,
1898,USA,1,,,,,,,,,,,,,,
1899,USA,1,,,,,,,,,,,,,,
1900,USA,1,,,,,,,,,,,,,,
1901,USA,1,,,,,,,,,,,,,,
1902,USA,1,,,,,,,,,,,,,,
1903,USA,1,,,,,,,,,,,,,,
1904,USA,1,,,,,,,,,,,,,,
1905,USA,1,,,,,,,,,,,,,,
1906,USA,1,,,,,,,,,,,,,,
1907,USA,1,,,,,,,,,,,,,,
1908,USA,1,,,,,,,,,,,,,,
1909,USA,1,,,,,,,,,,,,,,
1910,USA,1,,,,,,,,,,,,,,
1911,USA,1,,,,,,,,,,,,,,
1912,USA,1,,,,,,,,,,,,,,
1913,USA,1,,,,,,,,,,,,,,
1914,USA,1,,,,,,,,,,,,,,
1915,USA,1,,,,,,,,,,,,,,
1916,USA,1,,,,,,,,,,,,,,
1917,USA,0.75,,,,,,,,,,,,,,
1918,USA,0.75,,,,,,,,,,,,,,
1919,USA,1,,,,,,,,,,,,,,
1920,USA,1,,,,,,,,,,,,,,
1921,USA,1,,,,,,,,,,,,,,
1922,USA,1,,,,,,,,,,,,,,
1923,USA,1,,,,,,,,,,,,,,
1924,USA,1,,,,,,,,,,,,,,
1925,USA,1,,,,,,,,,,,,,,
1926,USA,1,,,,,,,,,,,,,,
1927,USA,1,,,,,,,,,,,,,,
1928,USA,1,,,,,,,,,,,,,,
1929,USA,1,,,,,,,,,,,,,,
1930,USA,1,,,,,,,,,,,,,,
1931,USA,1,,,,,,,,,,,,,,
1932,USA,1,,,,,,,,,,,,,,
1933,USA,1,,,,,,,,,,,,,,
1934,USA,0.75,,,,,,,,,,,,,,
1935,USA,0.75,,,,,,,,,,,,,,
1936,USA,0.75,,,,,,,,,,,,,,
1937,USA,0.75,,,,,,,,,,,,,,
1938,USA,0.75,,,,,,,,,,,,,,
1939,USA,0.75,,,,,,,,,,,,,,
1940,USA,,,,,,,,,,,,,,,
1941,USA,,,,,,,,,,,,,,,
1942,USA,,,,,,,,,,,,,,,
1943,USA,,,,,,,,,,,,,,,
1944,USA,,,,,,,,,,,,,,,
1945,USA,,,,,,,,,,,,,,,
1946,USA,,,,,,,,,,,,,,,
1947,USA,,,,,,,,,,,,,,,
1948,USA,,,,,,,,,,,,,,,
1949,USA,,,,,,,,,,,,,,,
1950,USA,1,,,,,,,,,,,,,,
1951,USA,1,,,,,,,,,,,,,,
1952,USA,1,,,,,,,,,,,,,,
1953,USA,1,,,,,,,,,,,,,,
1954,USA,1,,,,,,,,,,,,,,
1955,USA,1,,,,,,,,,,,,,,
1956,USA,1,,,,,,,,,,,,,,
1957,USA,1,,,,,,,,,,,,,,
1958,USA,1,,,,,,,,,,,,,,
1959,USA,1,,,,,,,,,,,,,,
1960,USA,1,,,,,,,,,,,,,,
1961,USA,1,,,,,,,,,,,,,,
1962,USA,1,,,,,,,,,,,,,,
1963,USA,1,,,,,,,,,,,,,,
1964,USA,1,,,,,,,,,,,,,,
1965,USA,1,,,,,,,,,,,,,,
1966,USA,0.875,,,,,,,,,,,,,,
1967,USA,0.875,,,,,,,,,,,,,,
1968,USA,0.875,,,,,,,,,,,,,,
1969,USA,0.875,,,,,,,,,,,,,,
1970,USA,0.875,,,,,,,,,,,,,,
1971,USA,0.875,,,,,,,,,,,,,,
1972,USA,0.875,,,,,,,,,,,,,,
1973,USA,0.875,,,,,,,,,,,,,,
1974,USA,1,,,,,,,,,,,,,,
1975,USA,1,,,,,,,,,,,,,,
1976,USA,1,,,,,,,,,,,,,,
1977,USA,1,,,,,,,,,,,,,,
1978,USA,1,,,,,,,,,,,,,,
1979,USA,1,,,,,,,,,,,,,,
1980,USA,1,,,,,,,,,,,,,,
1981,USA,1,,,,,,,,,,,,,,
1982,USA,1,,,,,,,,,,,,,,
1983,USA,1,,,,,,,,,,,,,,
1984,USA,1,,,,,,,,,,,,,,
1985,USA,1,,,,,,,,,,,,,,
1986,USA,1,,,,,,,,,,,,,,
1987,USA,1,,,,,,,,,,,,,,
1988,USA,1,,,,,,,,,,,,,,
1989,USA,1,,,,,,,,,,,,,,
1990,USA,1,,,,,,,,,,,,,,
1991,USA,1,,,,,,,,,,,,,,
1992,USA,1,,,,,,,,,,,,,,
1993,USA,1,,,,,,,,,,,,,,
1994,USA,1,,,,,,,,,,,,,,
1995,USA,1,,,,,,,,,,,,,,
1996,USA,1,,,,,,,,,,,,,,
1997,USA,1,,,,,,,,,,,,,,
1998,USA,1,,,,,,,,,,,,,,
1999,USA,1,,,,,,,,,,,,,,
2000,USA,1,,,,,,,,,,,,,,
2001,USA,1,,,,,,,,,,,,,,
2002,USA,1,,,,,,,,,,,,,,
2003,USA,1,,,,,,,,,,,,,,
2004,USA,1,,,,,,,,,,,,,,
2005,USA,1,,,,,,,,,,,,,,
2006,USA,1,,,,,,,,,,,,,,
2007,USA,1,,,,,,,,,,,,,,
2008,USA,1,,,,,,,,,,,,,,
2009,USA,1,,,,,,,,,,,,,,
2010,USA,1,,,,,,,,,,,,,,
2011,USA,1,,,,,,,,,,,,,,
2012,USA,1,,,,,,,,,,,,,,
2013,USA,1,,,,,,,,,,,,,,
2014,USA,1,,,,,,,,,,,,,,
2015,USA,1,,,,,,,,,,,,,,
2016,USA,1,,,,,,,,,,,,,,
2017,USA,1,,,,,,,,,,,,,,
2018,USA,1,,,,,,,,,,,,,,
2019,USA,1,,,,,,,,,,,,,,
2020,USA,1,,,,,,,,,,,,,,
